trade_id,date,direction,window,entry,sl,tp,lot,exit_price,exit_reason,pnl,rr_achieved,duration_m,entry_time,exit_time,sweep_level,fvg_top,fvg_bottom,h4_bias,be_triggered
12,2025-12-03,LONG,NY_AM_SILVER_BULLET,4205.5,4205.5,4232.94,0.1,4232.94,TP,274.4,8.0,41242,2025-12-03 19:45 NPT,2025-12-03 21:35 NPT,4202.84,4205.93,4205.07,BULLISH,True
13,2025-12-03,LONG,NY_PM_SILVER_BULLET,4218.14,4218.14,4236.03,0.1,4218.14,BE,0.0,0.0,41481,2025-12-04 00:20 NPT,2025-12-04 00:35 NPT,4202.84,4218.48,4217.8,BULLISH,True
14,2025-12-04,LONG,ASIAN_SWEEP_WINDOW,4193.62,4190.11,4221.7,0.1,4190.11,SL,-35.1,1.0,42059,2025-12-04 13:20 NPT,2025-12-04 13:25 NPT,4194.61,4194.13,4193.11,BULLISH,False
15,2025-12-04,LONG,NY_PM_SILVER_BULLET,4215.3,4212.18,4240.3,0.1,4212.18,SL,-31.2,1.0,42578,2025-12-05 00:10 NPT,2025-12-05 00:20 NPT,4187.2,4215.43,4215.18,BULLISH,False
16,2025-12-08,LONG,ASIAN_SWEEP_WINDOW,4210.67,4204.93,4256.59,0.1,4204.93,SL,-57.4,1.0,44244,2025-12-08 13:25 NPT,2025-12-08 15:45 NPT,4195.02,4213.41,4207.93,BULLISH,False
17,2025-12-16,LONG,ASIAN_SWEEP_WINDOW,4278.33,4274.29,4310.65,0.1,4274.29,SL,-40.4,1.0,50796,2025-12-16 13:35 NPT,2025-12-16 18:55 NPT,4285.24,4279.37,4277.29,BULLISH,False
18,2025-12-22,LONG,ASIAN_SWEEP_WINDOW,4397.01,4397.01,4408.89,0.1,4408.89,TP,118.8,3.0,55110,2025-12-22 12:45 NPT,2025-12-22 13:15 NPT,4339.55,4397.97,4396.05,BULLISH,True
19,2025-12-23,LONG,NY_PM_SILVER_BULLET,4464.37,4464.37,4478.32,0.1,4478.32,TP,139.5,3.0,56746,2025-12-24 00:35 NPT,2025-12-24 00:45 NPT,4449.51,4466.02,4462.72,BULLISH,True
20,2025-12-24,LONG,NY_PM_SILVER_BULLET,4470.2,4470.2,4499.94,0.1,4499.94,TP,297.4,7.13,57775,2025-12-25 00:25 NPT,2025-12-26 06:45 NPT,4468.29,4471.38,4469.03,BULLISH,True
21,2025-12-26,LONG,ASIAN_SWEEP_WINDOW,4509.26,4506.12,4525.94,0.1,4506.12,SL,-31.4,1.0,58154,2025-12-26 12:55 NPT,2025-12-26 13:05 NPT,4482.43,4509.4,4509.12,BULLISH,False
